000501,65.8,73.3,29.1,18.6,20.6,18.6,9.3,0.8
000505,65.6,73.0,34.4,17.0,18.9,20.5,9.1,0.0
000509,65.0,72.3,34.7,16.5,25.3,15.1,8.4,0.0
000510,60.4,67.2,31.9,30.4,21.3,9.7,6.3,0.0
000511,71.8,79.9,27.3,13.1,21.9,19.1,17.5,0.0
000513,24.6,27.3,73.4,7.3,0.9,0.0,0.0,0.0
000519,78.8,87.7,15.4,17.3,32.3,17.3,16.2,1.5
000520,84.0,93.5,7.6,19.0,34.5,18.2,16.0,4.6
000525,47.1,52.4,41.4,25.6,19.5,3.0,1.5,0.0
000527,39.1,43.6,43.0,22.1,12.9,2.9,1.1,0.0
000534,57.0,63.4,40.4,24.8,16.5,9.6,7.8,0.0
000539,73.4,81.7,23.3,18.5,21.4,18.2,18.5,0.0
000543,64.5,71.9,28.5,27.1,24.6,13.1,6.7,0.0
000546,50.9,56.6,49.0,23.6,17.2,7.2,2.3,0.0
000547,58.5,65.1,42.5,19.0,19.5,13.2,5.8,0.0
000553,53.8,59.9,46.0,23.9,17.5,9.4,3.3,0.0
000556,38.4,42.8,72.3,17.7,5.8,3.2,1.0,0.0
000557,54.1,60.3,44.8,24.8,17.4,8.8,4.1,0.0
000558,76.7,85.4,18.2,17.9,27.5,19.3,17.0,0.0
000559,49.9,55.6,51.2,23.2,14.4,7.3,3.3,0.0
000560,59.7,66.4,36.0,26.2,19.3,12.0,6.1,0.0
000562,75.2,83.8,14.4,21.1,35.4,14.4,12.1,0.7
000575,72.5,80.7,22.3,21.0,24.1,18.7,14.0,0.0
000577,52.9,58.9,45.8,23.7,14.4,9.1,5.5,0.0
000596,79.1,88.0,19.3,14.9,17.4,21.4,26.9,0.0
000598,48.4,53.9,42.9,40.8,14.3,2.0,0.0,0.0
000608,50.1,55.8,46.1,23.7,15.8,6.6,3.9,0.0
000612,71.4,79.5,24.8,19.9,22.7,17.9,13.0,1.8
000613,59.2,65.9,38.7,23.3,20.4,12.6,5.0,0.0
000614,33.3,37.1,58.5,24.4,4.9,0.0,0.0,0.0
000616,43.1,48.0,61.0,24.6,10.2,3.4,0.8,0.0
000620,70.8,78.8,23.3,23.3,20.9,20.9,11.6,0.0
000621,43.0,47.9,53.9,22.7,12.3,4.5,0.6,0.0
000623,45.3,50.5,55.4,28.8,9.2,4.9,1.6,0.0
000634,48.9,54.4,52.6,23.0,15.6,4.4,3.7,0.0
000638,86.6,96.5,10.3,13.5,19.8,23.5,32.0,0.9
000640,41.8,46.6,29.5,25.0,22.7,0.0,0.0,0.0
000653,78.3,87.2,18.8,16.9,18.1,20.2,25.3,0.5
000664,34.5,38.5,32.4,27.1,10.6,1.1,0.5,0.0
000676,42.8,47.7,64.6,16.4,9.9,6.2,1.5,0.0
000679,64.9,72.3,33.6,17.6,20.6,14.5,12.6,0.0
000687,87.9,97.8,7.1,12.5,29.6,22.2,28.2,0.3
000699,80.0,89.1,15.7,14.7,28.9,23.5,15.2,2.0
000701,94.5,105.2,6.0,7.7,13.4,20.5,52.0,0.4
000711,82.6,91.9,14.2,14.9,20.1,23.8,27.1,0.0
000725,65.9,73.3,30.9,19.0,23.9,12.0,12.9,0.0
000729,44.0,49.0,60.3,17.9,14.5,3.4,1.6,0.0
000736,57.1,63.6,43.8,19.4,22.9,7.6,6.3,0.0
000737,62.3,69.3,35.7,20.5,21.1,15.0,6.9,0.4
000745,96.1,107.0,4.9,6.3,13.0,22.7,53.1,0.0
000752,88.4,98.5,7.2,11.4,29.9,23.1,27.1,1.2
000760,88.4,98.5,8.5,11.2,21.9,28.0,30.4,0.0
000770,47.4,52.8,55.7,22.6,15.2,4.1,2.4,0.0
000778,84.0,93.5,7.8,16.5,35.3,21.0,19.0,0.0
000779,69.0,76.8,25.0,25.0,17.6,22.1,10.3,0.0
000780,69.9,77.9,24.4,22.7,23.0,19.3,10.6,0.0
000804,44.6,49.7,60.6,21.8,11.2,4.5,1.8,0.0
000808,62.5,69.6,32.2,26.1,23.9,9.4,8.3,0.0
000810,87.7,97.6,8.2,10.1,31.7,23.4,25.4,0.9
000813,47.6,53.0,52.0,28.5,11.0,4.5,3.7,0.0
000825,68.4,76.2,25.9,22.6,27.4,15.0,9.1,0.0
000828,33.1,36.8,76.9,10.5,5.8,1.5,0.0,0.0
000831,69.2,77.0,28.9,19.5,17.6,17.3,16.6,0.0
000836,87.4,97.3,8.3,13.5,24.4,22.1,31.7,0.0
000838,54.3,60.4,44.2,24.9,19.6,9.2,2.1,0.0
000840,44.5,49.5,59.6,19.8,10.9,6.1,1.8,0.0
000841,47.2,52.5,50.6,21.3,12.6,7.9,2.4,0.2
000843,57.8,64.4,40.0,24.0,19.0,10.5,6.2,0.0
000844,81.7,91.0,9.2,18.1,40.0,19.0,13.3,0.3
000851,75.4,83.9,22.1,15.3,25.3,20.1,16.8,0.4
000855,52.1,58.1,46.1,26.3,16.7,6.4,3.9,0.0
000858,50.2,55.9,51.3,23.4,15.8,7.6,1.9,0.0
000859,81.3,90.5,14.4,17.6,19.7,19.9,28.4,0.0
000870,78.0,86.9,14.4,22.3,24.2,19.3,19.8,0.0
000875,62.4,69.4,33.8,23.7,22.7,14.0,5.8,0.0
000877,83.9,93.5,16.1,9.7,19.8,23.1,30.7,0.6
