000067,61.4,12.3,24.6,0.0,12.3,42.1,0.0,22.8,1.8,100.0,46.3,46.3
000119,74.2,13.4,13.4,0.0,40.2,24.7,0.0,42.3,18.6,92.8,44.3,27.8
000208,64.4,12.2,11.1,0.0,30.0,18.9,1.1,35.6,8.9,92.2,40.9,20.3
000236,37.4,13.1,4.9,0.0,17.8,5.1,0.0,5.1,0.0,82.0,29.2,17.2
000298,63.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,93.3,28.6,
000300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7,0.0,
000302,63.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,91.7,26.7,5.6
000303,63.0,0.0,0.0,0.0,53.1,0.0,0.0,21.9,3.1,59.4,11.1,
000315,74.8,19.8,16.2,0.0,32.4,18.0,0.0,36.9,2.7,98.2,54.6,30.7
000338,85.7,9.5,19.0,0.0,61.9,28.6,4.8,0.0,0.0,100.0,25.0,25.0
000363,7.3,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,1.4,2.2
000364,73.8,23.8,28.8,0.0,28.8,35.0,0.0,37.5,0.0,98.8,47.4,25.0
000417,63.0,4.8,0.0,0.0,15.7,0.0,0.0,3.6,1.2,59.0,17.7,13.4
000450,84.1,4.5,34.1,0.0,47.7,36.4,2.3,31.8,4.5,93.2,37.7,18.5
000463,72.0,12.9,15.1,2.7,49.8,23.1,0.0,39.1,5.3,85.8,30.6,17.6
000513,90.0,0.0,0.0,0.0,90.0,0.0,0.0,10.0,0.0,90.0,0.0,
000520,24.1,9.3,3.7,0.0,0.0,14.8,0.0,0.0,0.0,96.3,60.9,34.0
000557,63.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,75.0,50.0,12.5
000558,63.0,27.3,9.1,0.0,0.0,22.7,0.0,0.0,0.0,86.4,70.8,
000562,52.0,20.6,15.7,0.0,24.5,11.8,0.0,34.3,1.0,87.3,41.7,28.1
000608,54.5,0.0,0.0,0.0,54.5,0.0,0.0,0.0,0.0,81.8,8.3,8.3
000616,66.7,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,73.3,21.4,
000621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,15.8,
000679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,41.7,15.0
000687,61.0,36.6,31.7,27.2,10.0,4.1,0.0,15.2,1.4,97.6,73.5,52.5
000725,22.9,0.0,14.3,0.0,0.0,5.7,0.0,22.9,0.0,74.3,54.5,14.8
000752,92.2,28.6,27.3,1.3,32.5,62.3,0.0,45.5,1.3,98.7,51.7,46.2
000770,63.0,0.0,0.0,0.0,31.6,0.0,0.0,5.3,0.0,68.4,10.9,
000778,67.2,12.1,20.7,0.0,17.2,41.4,0.0,31.0,12.1,100.0,51.9,32.7
000810,71.4,32.1,41.0,7.0,17.3,34.8,0.0,24.0,7.5,98.1,76.1,55.9
000844,55.8,16.3,14.0,2.3,25.6,14.0,0.0,23.3,2.3,100.0,60.0,31.3
000893,77.8,11.1,14.8,0.0,20.4,18.5,0.0,61.1,13.0,100.0,55.0,34.0
000919,68.8,17.5,26.3,0.0,25.0,48.8,0.0,41.3,16.3,100.0,53.6,29.5
000935,73.9,18.0,18.0,0.0,19.8,36.0,0.0,39.6,4.5,95.5,62.9,41.3
000992,54.2,16.7,27.1,0.0,12.5,18.8,0.0,25.0,8.3,91.7,44.7,33.3
001081,69.9,21.8,25.3,6.6,22.3,12.7,0.9,22.7,3.1,96.9,51.7,35.1
001123,55.1,3.3,9.8,0.4,27.3,7.3,0.4,16.3,9.8,85.7,32.4,13.3
001149,69.0,34.2,31.6,9.1,15.5,28.9,0.0,16.0,6.4,89.8,57.7,43.8
001198,98.4,19.7,41.0,3.3,63.9,42.6,0.0,52.5,45.9,100.0,48.5,36.4
001297,77.2,60.3,43.8,47.5,5.5,4.1,2.3,9.1,0.0,98.2,80.3,65.4
001370,73.8,50.4,54.6,29.9,5.0,34.6,0.0,2.6,0.8,98.2,88.1,66.8
001388,65.9,57.5,35.8,28.1,2.3,6.4,0.0,3.7,0.0,98.3,81.6,61.9
