000543,Pinnacle Academy,741,91.4,13.4,30.1
000546,Winterfield Venture Academy,364,87.8,25.4,42.4
000547,Amanda Elementary School,385,91.8,20.1,30.0
000553,"Columbus Humanities, Arts and Technology Academy",631,92.0,15.4,23.0
000556,A+ Arts Academy,266,79.4,36.0,74.9
000557,Columbus Arts & Technology Academy,534,77.8,24.3,74.1
000558,Columbus Preparatory Academy,778,91.0,10.6,34.2
000559,Orion Academy,441,84.8,25.8,60.8
000560,Apex Academy,482,87.0,19.7,54.4
000562,Amanda-Clearcreek High School,400,89.9,5.7,32.5
000575,Northwest School of the Arts,280,85.8,23.1,56.5
000577,Emerson Academy,659,88.2,25.2,46.2
000596,Amelia Elementary School,670,92.9,8.3,20.6
000598,Coshocton Opportunity School,58,93.7,27.1,27.2
000608,Summit Academy Transition High School-Cincinnati,45,85.9,12.5,57.9
000612,West Clermont Middle School,1695,91.0,8.2,31.6
000613,Heir Force Community School,205,91.3,6.5,33.1
000614,Summit Academy Transition High School-Columbus,30,78.3,27.0,59.4
000616,Summit Academy Alternative LearnersWarren Middle & Secondary,68,86.9,12.3,57.9
000620,Amesville Elementary School,184,91.6,9.1,26.4
000621,Summit Academy Dayton,87,79.8,19.8,67.4
000623,Summit Academy-Youngstown,128,87.6,12.1,46.7
000634,Summit Academy Secondary School - Middletown,83,84.4,19.8,65.5
000638,Amherst Elementary School,471,94.6,6.3,13.0
000640,Rittman Academy,31,73.5,42.9,73.5
000653,Amity Elementary School,568,92.9,4.6,21.7
000664,Capital City Career Prep High School,120,50.2,30.0,99.2
000676,Frank Jacinto Elementary,306,86.2,16.9,54.9
000679,Oakstone Community School,174,93.3,3.9,17.2
000687,Anderson High School,1081,92.5,6.3,20.9
000699,Arcadia Middle School,84,95.8,4.7,4.2
000701,Avon Heritage Elementary School,974,94.8,3.2,8.7
000711,Pymatuning Valley Primary Elementary School,465,92.8,8.4,19.2
000725,Zenith Academy,444,98.8,21.1,0.4
000729,Andrew J Rickoff,441,83.0,23.0,62.9
000736,Phoenix Village Academy Primary 2 dba Wings Academy 1,99,85.8,20.4,59.8
000737,Massillon Junior High School,598,86.9,11.3,48.5
000745,Anna Elementary School,514,95.9,4.7,4.7
000752,Anna High School,298,96.0,1.0,5.4
000760,Ansonia Elementary School,493,95.2,1.5,7.3
000770,"Maritime Academy of Toledo, The",206,59.4,33.9,91.2
000778,Ansonia High School,216,94.5,1.8,11.7
000779,Educational Academy for Boys & Girls,178,93.0,16.4,23.1
000780,Midnimo Cross Cultural Middle School,164,91.2,8.6,31.6
000804,Horizon Science Academy-Cincinnati,204,86.0,15.6,57.3
000808,Horizon Science Academy-Dayton,180,87.9,11.3,48.6
000810,Anthony Wayne High School,1152,94.0,3.5,14.8
000813,Gem City Career Prep High School,149,42.9,31.1,99.9
000825,Horizon Science Academy-Springfield,320,90.0,18.8,40.8
000828,Anton Grdina,314,80.1,16.3,66.7
000831,National Road,378,92.4,11.1,26.4
000836,Antwerp Local Elementary School,343,95.2,5.1,10.5
000838,Horizon Science Academy-Denison Middle School,276,88.7,21.3,49.1
000840,General Johnnie Wilson Middle School,434,81.8,14.2,60.4
000841,Longfellow Middle School,392,82.2,18.4,61.1
000843,Bennett Venture Academy,440,88.4,19.4,46.8
000844,Antwerp Local High School,171,93.9,5.6,15.2
000851,Waynedale Elementary School,456,94.4,5.1,11.9
000855,Stambaugh Charter Academy,473,85.1,21.9,61.2
000858,Horizon Science Academy-Cleveland Middle School,274,87.0,17.3,50.7
000859,Canton Arts Academy @ Summit,266,94.5,6.5,10.6
000870,Grand Valley Elementary School,368,93.4,7.0,18.6
000875,Westside Academy,348,92.5,22.1,26.5
000877,Applewood Elementary School,470,94.1,5.5,14.8
000878,Slate Ridge Elementary School,574,91.1,15.8,27.0
000883,Canaan Middle School,352,94.5,5.7,12.2
000884,Charity Adams Earley Girls Academy,382,90.1,23.9,35.0
000885,Arcadia Elementary School,304,95.9,3.9,6.2
000892,Glen Oak Elementary School,613,94.6,5.9,11.9
000893,Arcadia High School,153,96.3,6.9,2.9
000901,Arcanum Elementary School,435,94.6,3.4,12.3
000912,Early College Academy,114,58.8,59.9,89.4
000919,Arcanum High School,265,96.1,3.9,5.8
000927,Archbold Elementary School,441,95.4,5.3,7.4
000935,Archbold High School,317,94.7,7.4,12.2
000936,Promise Academy,104,36.5,67.2,98.6
000938,East Bridge Academy of Excellence,132,89.7,30.3,37.9
000941,Par Excellence Academy dba Par Excellence STEM Academy,190,91.1,17.5,35.3
000950,Newton Falls Elementary School,246,91.6,11.6,31.7
000951,Toledo Preparatory and Fitness Academy,271,87.6,25.8,45.2
000952,Columbus Preparatory and Fitness Academy,395,88.7,17.0,41.6
000953,Mt. Healthy Preparatory and Fitness Academy,206,87.9,16.7,51.3
000968,Arlington Elementary School,309,88.8,15.5,40.7
000976,Arlington Local Elementary School,360,95.8,4.6,3.6
000992,Arlington Local High School,235,95.1,5.5,9.2
001024,Arrowhead Primary Elementary School,370,95.3,5.5,6.4
001040,Artemus Ward,499,88.2,15.2,44.2
001073,Asbury Elementary School,514,92.4,17.0,25.6
001081,Ashland High School,804,93.0,6.4,17.7
001099,Ashland Middle School,681,93.3,5.5,18.7
001107,Buckeye Valley East Elementary School,439,94.3,1.4,14.0
001123,Lakeside High School,783,85.9,11.0,48.1
001131,Ashville Elementary School,485,93.6,7.9,16.0
001149,Athens High School,637,90.2,8.5,28.6
001172,Atkinson Elementary School,322,93.7,11.7,19.3
001180,Seneca East Elementary,346,95.8,3.1,3.1
001198,Seneca East High School,218,94.0,2.6,15.4
001206,Waterloo Elementary School,457,93.3,8.8,19.1
001230,Timmons Elementary School,763,94.9,3.5,8.0
001255,Oakwood Elementary School,289,96.0,5.2,5.1
001297,Aurora High School,935,94.4,2.5,11.8
001313,Craddock Elementary School,434,94.8,2.5,8.4
001321,Austinburg Elementary School,220,93.0,9.8,17.0
001339,Austintown Middle School,980,91.7,4.3,28.1
001347,Avery Elementary School,430,96.2,1.8,5.6
001354,Avon East Elementary School,541,95.2,3.1,6.9
001362,Avon Early Learning Center,385,94.2,7.8,10.8
001370,Avon High School,1349,93.8,3.3,12.6
001388,Avon Lake High School,1033,91.5,3.4,25.8
001396,Avondale Elementary School,271,87.3,10.8,51.8
001404,Avondale Elementary School,255,95.2,8.5,8.9
001412,Ayersville Elementary School,324,95.5,3.8,6.4
001420,Ayersville High School,300,93.9,3.1,15.1
001438,Edgewood Early Childhood Center,295,92.3,10.3,27.1
001446,Badger High School,141,92.1,7.5,31.5
001453,Paint Valley Middle School,166,91.6,15.6,27.5
001461,Mathews Elementary School (Intermediate),126,93.7,9.0,16.7
001537,Barber Community Learning Center,435,91.8,16.0,28.2
001545,Barberton High School,1000,88.9,14.1,38.0
001578,Warren Middle School,651,93.4,5.3,17.2
001594,Barnesville Elementary School,515,93.4,4.5,19.0
001602,Barnesville High School,336,91.1,5.1,29.6
001628,Brookside Intermediate School,413,92.5,5.6,23.4
001644,Barrington Road Elementary School,801,95.9,0.9,2.5
001669,Bascom Elementary School,229,93.2,7.1,20.5
001677,Westlake Elementary School,1210,95.0,5.9,8.5
001685,Bataan Memorial Primary School,372,93.9,8.3,14.6
001693,Batavia Elementary School,1241,92.4,8.9,22.7
001701,Batavia High School,619,89.9,8.4,33.7
001735,Bath Elementary School,664,95.2,3.4,6.4
001743,Bath Elementary School,729,94.6,3.7,11.4
001750,Bath High School,397,94.1,6.3,14.7
001768,Bath Middle School,417,94.5,4.9,13.4
001776,Bauer Primary School,306,92.3,13.1,21.5
001792,Bay High School,671,94.0,1.4,13.3
001800,Bay Middle School,735,95.0,0.8,7.6
001818,Lakeview Elementary School,547,94.3,5.0,12.4
001842,Beachwood High School,538,93.2,4.0,21.2
001859,Beacon Elementary School,449,95.0,6.6,9.4
001875,Beallsville Elementary School,139,93.0,6.2,19.9
001883,Beallsville High School,94,91.1,5.0,30.4
001891,Bear Primary School,174,93.1,12.1,20.8
001917,Beatty Park Elementary School,67,82.9,19.5,61.8
001925,Columbus Spanish Immersion K-7 School,473,91.8,4.7,28.3
001933,Beaver Local Middle School,555,92.8,3.5,21.4
001958,Beaver Local High School,503,91.6,2.9,28.9
001966,Beavercreek High School,1423,93.2,4.6,19.8
001982,Beavertown Elementary School,384,94.6,11.6,10.4
002022,Bedford High School,811,86.8,7.8,49.3
002048,Beechwood Elementary School,512,92.5,16.9,23.3
002055,Early Childhood Center,421,91.0,14.8,30.4
002139,Bellaire High School,304,86.0,7.5,42.6
002147,Bellbrook Middle School,618,95.2,2.8,9.0
002154,Bellbrook High School,756,94.2,2.5,14.9
002170,Benjamin Logan Elementary School,583,94.5,7.9,10.0
002196,Belle Haven Elementary School,480,93.0,16.0,23.7
002220,Bellefontaine High School,588,89.9,11.7,38.6
002246,Bellevue High School,491,94.1,6.3,17.0
002253,Bellevue Middle School,395,94.6,5.8,12.4
002279,Bellville Elementary School,401,95.8,3.9,3.8
002303,Belmont High School,1097,76.5,23.6,71.9
002337,Belpre High School,380,88.5,11.5,40.2
002352,Gearity Professional Development School,407,92.3,17.1,25.2
002378,Benjamin Franklin,378,84.9,15.7,53.2
002436,Berkshire High School,367,92.5,4.8,22.1
002444,Western Reserve Middle School,143,94.2,3.4,14.7
002451,Berlin Elementary School,332,94.9,2.4,8.4
002485,Edison Middle School (formerly Berlin-Milan Middle School),524,94.4,6.3,13.0
002493,Berne Union Elementary School,444,93.8,7.1,14.3
002501,Berne Union High School,358,92.2,8.4,20.5
002519,Berry Intermediate School,771,93.9,6.0,15.5
002527,Berwick Alternative K-8 School,684,88.5,12.2,43.9
002543,Bethel Elementary School,942,94.2,4.9,13.5
002568,Bethel Tate High School,347,91.6,9.8,30.7
002576,Bethel High School,507,94.2,6.2,13.2
002584,Bethel-Tate Middle School,284,93.1,9.8,21.7
002634,Betty Jane Community Learning Center,352,92.1,5.9,24.9
002642,Beverly Elementary School,559,94.6,4.1,13.0
002659,Beverly-Center Elementary School,226,95.4,5.1,6.4
002667,Beverly Gardens Elementary School,384,94.2,12.0,12.2
002675,Bexley High School,760,93.8,2.9,16.6
002683,River Valley Middle School,334,91.3,11.6,28.9
002709,Big Walnut High School,1143,92.9,4.1,20.7
002733,Binns Elementary School,309,88.0,19.5,47.7
002758,Birmingham Elementary School,305,85.7,13.4,53.7
002766,Samuel Bissell Elementary School,581,95.1,2.9,8.7
002782,Black River High School,316,93.8,2.4,16.6
002824,Blairwood Elementary School,147,90.2,24.0,37.1
002832,Blanchester Middle School,351,93.3,8.3,22.1
002840,Blanchester High School,266,91.8,8.7,28.0
002857,Bloom Carroll Intermediate School,547,94.9,3.9,10.0
002873,South Webster Jr/Sr High School,278,93.2,9.3,23.6
002907,Bloom Carroll Primary School,479,94.4,6.0,9.1
002923,Edgewood Intermediate School,735,92.9,6.7,20.9
002956,Bloomfield High School,80,89.5,4.9,37.7
002964,Miami Trace Middle School,577,92.9,8.9,20.5
002980,E J Blott Elementary School,351,90.4,7.7,36.5
002998,Blue Ash Elementary,640,95.3,10.1,6.7
003020,Bluffton Elementary School,533,95.6,2.9,5.9
003038,Bluffton High School,296,95.2,0.9,6.8
003046,Wapakoneta Middle School,612,94.2,4.1,14.3
003053,Boardman Glenwood Junior High,549,92.4,6.8,22.8
003061,Boardman High School,995,92.2,7.9,23.1
003103,Bolich Middle School,506,91.7,8.6,22.9
003129,Tuscarawas Valley Elementary School,683,94.9,6.1,8.3
003137,Bolton,207,80.5,14.1,67.5
003152,Bond Hill Academy,312,82.2,16.9,64.8
003202,Woodridge Middle School,404,91.4,12.2,28.7
003210,Botkins Elementary School,322,96.2,3.0,3.8
003228,Botkins High School,257,95.5,1.1,7.4
003244,Boulevard Elementary School,376,93.5,7.1,19.4
003251,Boulevard Elementary School,272,91.4,16.6,34.1
003277,Conotton Valley Elementary,295,94.5,5.6,8.5
003285,Bowling Green High School,697,92.4,4.4,22.8
003293,Bowling Green Middle School,593,93.6,7.3,19.3
003301,Bowsher High School,744,87.7,16.9,42.2
003335,LaBrae Intermediate School,247,92.8,5.8,18.9
003368,Bradford Elementary School,273,94.4,6.1,10.4
003376,Bradford High School,222,93.0,4.6,22.3
003400,Ballard Brady Middle School,463,95.9,3.8,5.3
003434,Summerside Elementary,615,92.3,10.7,24.7
003442,Brantwood Elementary School,371,92.4,14.3,23.1
003467,Brecksville-Broadview Heights High School,1106,94.6,0.7,11.1
003475,Brecksville-Broadview Heights Middle School,792,94.7,0.9,11.9
003509,Ridge Elementary School,651,95.0,5.3,9.6
003558,The Bridgeport School District - High School,193,89.0,15.0,34.5
003566,Bridgetown Middle School,611,93.1,6.1,19.9
003590,Buckeye North Elementary School,238,89.7,8.7,41.5
003616,Brimfield Elementary School,534,94.4,5.8,14.5
003624,Malabar Intermediate School,678,91.7,21.3,28.1
003632,Bristol Elementary School,232,93.2,5.8,17.0
003640,Bristol High School,180,88.9,10.8,42.9
003657,Britton Elementary School,441,95.6,6.3,6.3
003665,Broadleigh Elementary School,307,85.5,15.1,47.7
003707,Broadway Elementary School,454,94.8,4.7,10.8
003749,Brookfield High School,276,89.1,9.2,36.0
003756,Brookfield Middle School,297,90.1,9.1,33.7
003780,Brooklyn High School,360,89.3,8.0,35.9
003806,Brook Park Elementary School,925,93.0,7.1,20.3
003822,Brookside Elementary School,313,94.8,9.8,11.0
003830,Brookside High School,407,90.0,6.5,32.0
003863,Brookville High School,392,95.1,3.2,11.0
003897,Brown Elementary School,450,95.3,2.6,8.0
003905,Brown Middle School,507,90.1,16.0,37.1
003954,William Bruce Elementary School,431,94.7,4.3,12.0
003970,Brunswick High School,1726,93.3,4.6,18.0
003988,Midview North Elementary School,517,93.4,8.1,16.4
003996,Brush High School,912,85.8,9.8,51.9
004002,Bryan Elementary,868,94.8,7.4,9.8
004028,Bryan Middle School/High School,867,93.8,7.1,15.9
004044,Bryden Elementary School,265,93.9,15.4,13.8
004077,Buchtel Community Learning Center,964,81.0,15.0,65.8
004085,Buckeye Central High School,172,94.1,6.8,12.2
004101,Buckeye Elementary School,369,93.4,8.9,13.7
004119,Buckeye Elementary School,413,92.3,9.5,24.9
004127,Buckeye High School,530,93.1,3.5,20.5
004135,Buckeye Middle School,332,77.1,20.4,71.8
004143,Buckeye Valley Local High School,568,93.5,4.4,18.0
004176,Buckskin Elementary School,202,94.4,2.9,10.0
004184,Bucyrus Secondary School,204,91.4,13.0,32.5
004192,Budd Elementary School,206,95.4,3.7,6.8
004200,Pugliese Elementary West,450,95.9,4.3,5.7
004218,Brook Intermediate School,348,93.7,5.6,17.2
004234,Buhrer,420,92.5,4.7,25.7
004242,Ontario Primary School,265,91.1,11.1,36.9
004267,Paul C Bunn Elementary School,313,87.0,22.0,51.0
004317,Burlington Elementary School,365,93.1,14.1,18.9
004333,Wauseon Middle School,388,94.2,3.5,16.6
004341,Burroughs Elementary School,382,85.2,19.3,51.4
004358,Burroughs Elementary School,311,89.2,4.9,41.9
004366,Berkshire Middle School,387,93.3,2.7,19.2
004390,Butler Elementary School,256,94.4,4.9,10.1
004408,Butler Middle School,316,95.1,5.4,9.4
004416,Butler High School,833,92.5,5.1,24.4
004432,Byesville Elementary School,209,93.7,6.5,15.2
004457,Shaker Hts Middle School,936,92.8,6.7,21.1
004473,C O Harrison Elementary School,843,93.3,4.3,19.5
004507,Harrison Central Jr./Sr. High School,547,90.7,5.0,34.3
004515,Southwestern Elementary School,161,93.7,10.5,17.4
004549,Beaver Local Elementary School,613,92.2,5.5,24.5
004556,Caldwell High School,227,90.8,6.3,33.6
004564,Caldwell Elementary School,518,93.0,7.5,21.3
004580,Liberty Elementary School,407,93.9,3.2,13.7
004598,Caledonia Elementary School,245,87.1,29.6,54.4
004614,Cambridge Middle School,397,91.0,7.1,32.2
004622,Cambridge High School,464,89.6,13.4,41.4
004630,Preble Shawnee Elementary School,460,94.9,9.8,8.5
004697,C H Campbell Elementary School,470,94.5,2.3,10.3
004713,Ironton Middle School,292,92.3,9.8,17.8
004739,Streetsboro Elementary School,610,94.8,8.0,14.4
004747,Jonathan Alder Junior High,351,93.3,6.8,17.4
004754,W. S. Stinson Elementary School,383,96.7,3.3,2.4
004770,Canal Winchester High School,1109,91.4,7.7,26.6
004796,Canfield High School,677,92.8,2.9,22.3
004804,Canterbury Elementary School,311,93.5,8.5,15.3
004812,Canton South High School,611,90.4,6.9,30.0
004838,East Palestine Elementary School,412,92.1,7.8,29.5
004853,Cardinal Jr/Sr High School,285,92.7,9.1,19.0
004861,Cardington-Lincoln High School,242,93.0,5.0,16.8
004879,Cardington-Lincoln Elementary School,395,94.2,1.5,11.3
004887,Carey High School,468,93.9,4.1,14.2
004911,Carlisle High School,409,92.0,10.6,24.9
004929,Carlisle Primary Elementary School,478,94.5,6.6,10.2
004937,Carlisle Intermediate Elementary School,361,93.9,7.4,14.7
004952,Louise Troy Elementary School,324,88.8,16.2,42.4
004994,Bloom-Carroll High School,677,93.9,4.4,13.4
005017,Carrollton High School,499,92.2,7.0,27.0
005025,Dater Montessori School,720,93.7,9.3,17.6
005041,Carylwood Intermediate School,253,92.3,14.4,23.0
005074,Case Community Learning Center,370,89.4,10.4,36.1
005082,Cassingham Elementary School,480,95.4,1.9,5.6
005124,Cedar Elementary School,364,94.0,14.1,13.5
005132,Gorsuch West Elementary School,525,91.9,3.2,26.4
005157,Chestnut Elementary School,422,93.3,18.5,20.7
005165,Cedarville Elementary School,252,94.5,4.6,12.4
